price,volume,side,timestamp,order_type
65303.2,0.001,ask,2024-06-18T14:54:27.946288646+00:00,limit
65296.7,0.375,ask,2024-06-18T14:54:27.946288646+00:00,limit
65294.5,1.5,ask,2024-06-18T14:54:27.946288646+00:00,limit
65290.6,0.004,ask,2024-06-18T14:54:27.946288646+00:00,limit
65290.1,15.633,ask,2024-06-18T14:54:27.946288646+00:00,limit
65290.0,0.04,bid,2024-06-18T14:54:27.946288646+00:00,limit
65279.4,0.082,bid,2024-06-18T14:54:27.946288646+00:00,limit
65279.3,0.001,bid,2024-06-18T14:54:27.946288646+00:00,limit
65249.9,0.375,bid,2024-06-18T14:54:27.946288646+00:00,limit
65238.6,0.008,bid,2024-06-18T14:54:27.946288646+00:00,limit
